bioguide_id,Name,first_name,middle_name,last_name,nickname,Chamber,State,District,Party,start_year,end_year,update_date,image_url
W000804,Robert J. Wittman,Robert,J.,Wittman,,House,Virginia,1,Republican,2007,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/w000804_200.jpg
G000568,H. Morgan Griffith,H.,Morgan,Griffith,,House,Virginia,9,Republican,2011,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/68094df86c2e6631263de737_200.jpg
S000185,"Robert C. ""Bobby"" Scott",Robert,C.,Scott,Bobby,House,Virginia,3,Democratic,1993,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/s000185_200.jpg
C001063,Henry Cuellar,Henry,,Cuellar,,House,Texas,28,Democratic,2005,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/116_rp_tx_28_cuellar_henry_200.jpg
C001051,John R. Carter,John,R.,Carter,,House,Texas,31,Republican,2003,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/c001051_200.jpg
D000399,Lloyd Doggett,Lloyd,,Doggett,,House,Texas,37,Democratic,1995,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/d000399_200.jpg
G000601,Craig A. Goldman,Craig,A.,Goldman,,House,Texas,12,Republican,2025,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/6774277d0b34857ecc9090a7_200.jpg
B001325,Sheri Biggs,Sheri,,Biggs,,House,South Carolina,3,Republican,2025,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/677422990b34857ecc909052_200.jpg
S001224,Keith Self,Keith,,Self,,House,Texas,3,Republican,2023,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/s001224_200.jpg
O000175,Andrew Ogles,Andrew,,Ogles,,House,Tennessee,5,Republican,2023,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/o000175_200.jpg
M001224,Nathaniel Moran,Nathaniel,,Moran,,House,Texas,1,Republican,2023,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/680008c5f22eaf56065817f4_200.jpg
L000603,Morgan Luttrell,Morgan,,Luttrell,,House,Texas,8,Republican,2023,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/l000603_200.jpg
F000478,Russell Fry,Russell,,Fry,,House,South Carolina,7,Republican,2023,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/f000478_200.jpg
D000594,Monica De La Cruz,Monica,,De La Cruz,,House,Texas,15,Republican,2023,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/66d9fd54f440bf1dc174fbf6_200.jpg
E000071,Jake Ellzey,Jake,,Ellzey,,House,Texas,6,Republican,2021,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/e000071_200.jpg
P000048,August Pfluger,August,,Pfluger,,House,Texas,11,Republican,2021,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/p000048_200.jpg
J000304,Ronny Jackson,Ronny,,Jackson,,House,Texas,13,Republican,2021,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/j000304_200.jpg
H001086,Diana Harshbarger,Diana,,Harshbarger,,House,Tennessee,1,Republican,2021,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/h001086_200.jpg
F000246,Pat Fallon,Pat,,Fallon,,House,Texas,4,Republican,2021,,2025-04-28T13:04:26Z,https://www.congress.gov/img/member/f000246_200.jpg
